type,subtype,organization
Advocacy,Organizing,#LoveArmy
Advocacy,Organizing,#ResistTrumpTuesdays
Advocacy,Policy,#SaveMyCare Bus Tour
Advocacy,Organizing,100 Days of Action
Advocacy,Policy,350.org
Advocacy,Organizing,80% Alliance
Advocacy,Grassroots,Black Lives Matter
Advocacy,Policy,Blue Green Alliance
Advocacy,Policy,Brady Campaign
Advocacy,Faith-based,Bread for the World
Advocacy,Policy,Business Forward
Advocacy,Policy,Campaign for Guaranteed Healthcare
Advocacy,Policy,Campaign to Unload
Advocacy,Policy,Center for American Progress (CAP) Action Fund
Advocacy,Organizing,Climate Action Campaign
Advocacy,Policy,Coalition Against Gun Violence
Advocacy,Organizing,Code Pink
Advocacy,Organizing,Color of Change
Advocacy,Policy,Common Cause
Advocacy,Policy,Constitutional Communications
Advocacy,Watchdog,Constitutional Responsibility Project
Advocacy,Legal defense,Corporate Accountability Lab: Legal Design for a Global Economy
Advocacy,Policy,Cosecha Local Organizing
Advocacy,Policy,Council for a Livable World
Advocacy,Organizing,Council on American-Islamic Relations (CAIR)
Advocacy,Organizing,Courage Campaign
Advocacy,Organizing,CREDO
Advocacy,Organizing,Debug Politics
Advocacy,Policy,Demand Progress
Advocacy,Watchdog,Democratic Coalition Against Trump
Advocacy,Legal defense,DFW Detained
Advocacy,Policy,Disabilities Network of New York City
Advocacy,Legal defense,Disability Law Center
Advocacy,Policy,Disability Rights Education & Defense Fund
Advocacy,Legal defense,Disability Rights Ohio
Advocacy,Legal defense,Disability Rights Washington
Advocacy,Organizing,DisruptDC
Advocacy,Organizing,District 13
Advocacy,Organizing,Doctors for America
Advocacy,Policy,DRM
Advocacy,Policy,Drug Policy Alliance and Reform
Advocacy,Organizing,Dulles Justice
Advocacy,Legal,Earth Justice
Advocacy,Organizing,Energy Action Coalition
Advocacy,Policy,Equal Rights Advocates
Advocacy,Policy,Everyone Counts
Advocacy,Policy,Everytown/Moms Demand Action
Advocacy,Legal Defense,EWR Pro Bono Lawyers
Advocacy,Policy,Fair Share
Advocacy,Policy,Fair Vote
Advocacy,Organizing,Faith in Public Life
Advocacy,Policy,Families Against Manditory Minimums (FAMM)Mo
Advocacy,Organizing,Feminist Majority
Advocacy,Policy,Fight for 15
Advocacy,Policy,FIRM
Advocacy,Watchdog,FOIA the Trump Administration
Advocacy,Policy,Food and Water Watch
Advocacy,Policy,Freedom Cities
Advocacy,Policy,FWD.us
Advocacy,Organizing,Gamaliel
Advocacy,Organizing,Generation Progress
Advocacy,Organizing,Get Organized! BK
Advocacy,Policy,GLAAD
Advocacy,Organizing,Grab The Wheel
Advocacy,Policy,Greenpeace
Advocacy,Policy,Guns on Campus/Gun Free Kids
Advocacy,Policy,Human Rights Campaign
Advocacy,Policy,Human Rights First
Advocacy,Policy,Humane Society
Advocacy,Organizing,ioby
Advocacy,Organizing,Islamic Society of North America (ISNA)
Advocacy,Organizing,It Takes Roots
Advocacy,Policy,J Street
Advocacy,Organizing,Jacksonville Progressive Coalition
Advocacy,Legal defense,Jane's Due Process
Advocacy,Watchdog,Rise Stronger
Electoral,Voter education,#KnockEveryDoor
Electoral,Mobilization,#VOTEPROCHOICE
Electoral,Mobilization,California Organizes
Electoral,Voter education,Call Everyday
Electoral,Mobilization,Clean Water Action
Electoral,Mobilization,Connecting Dots
Electoral,Voter education,Countable
Electoral,Voter education,Democracy Builders
Electoral,Mobilization,Democracy Works
Electoral,Candidate training,Democratic Gain
Electoral,Candidate training,Emerge America
Electoral,Candidate training,Emerge California
Electoral,Candidate training,Emerge Wisconsin
Electoral,Candidate training,EMILY's List
Electoral,Candidate training,Empowered To Run
Electoral,Mobilization,Every Child Matters/Vote Kids
Electoral,Mobilization,Flippable
Electoral,Candidate training,Run for Something
Funder,,1776 NYC
Funder,,Committee on the States
Funder,,CrowdRise
Funder,,DemLabs
Funder,,Democracy Alliance (DA)
Funder,,Emerson Collective
Funder,,GovTech Fund
Funder,,Higher Ground Labs
Labor Union,,Communication Workers of America
Media,Film,50 / 50 Film
Media,Journalism,Counterpart
Media,Journalism,Crooked Media
Media,Journalism,Daily Kos
Media,Journalism,Iran Project
PAC,,#WeWillReplaceYou
PAC,,314 Action
PAC,,Democracy for America
PAC,,End Citizens United
PAC,,Forward Majority
PAC,,It Starts Today
Political Party,National,DCCC
Political party,Local,Dem Action (SF)
Political party,National,Democratic National Committee
Political party,National,Democratic Socialists of America (DSA)
Political Party,National,DLCC
Political Party,National,DNC
Political Party,National,DSCC
Political Party,National,Progressive Caucus (of Democrats in the House)
Resource,Information,#GrabYourWallet
Resource,Action,2 Hours A Week
Resource,Action,3 NoTrump
